alg_name,array_size,k_value,threshold,num_threads,mean_time,std_time
kway_par,16777216,8,1024,2,1.5360779999999998,0.015937888693299363
kway_par,16777216,8,1024,4,1.022846,0.007143146645561772
kway_par,16777216,8,1024,8,0.7964732,0.018667430946972836
kway_par,16777216,8,4096,2,1.379642,0.01621797077318857
kway_par,16777216,8,4096,4,0.9656821999999998,0.01615461046760337
kway_par,16777216,8,4096,8,0.7464138,0.01937194513103936
kway_par,16777216,16,16,2,1.8171240000000002,0.014979677700137549
kway_par,16777216,16,16,4,1.294022,0.02134720909158855
kway_par,16777216,16,16,8,1.1357279999999998,0.007856964808372228
kway_par,16777216,16,64,2,1.8420279999999998,0.032168315094204085
kway_par,16777216,16,64,4,1.304252,0.033329800119412625
kway_par,16777216,16,64,8,1.1437760000000001,0.01294695269165681
kway_par,16777216,16,256,2,1.5540379999999998,0.027921907814474286
kway_par,16777216,16,256,4,1.130832,0.03233391123882175
kway_par,16777216,16,256,8,0.8760429999999999,0.03170940938585898
kway_par,16777216,16,1024,2,1.521828,0.022920796146731023
kway_par,16777216,16,1024,4,1.067836,0.004168235118128515
kway_par,16777216,16,1024,8,0.8333570000000001,0.008254468947182498
kway_par,16777216,16,4096,2,1.3462260000000001,0.01967493999990848
kway_par,16777216,16,4096,4,0.9600192,0.013490734381789602
kway_par,16777216,16,4096,8,0.7751136000000001,0.012122959599041819
kway_par,16777216,32,16,2,1.7256779999999998,0.009733485295617367
kway_par,16777216,32,16,4,1.2939439999999998,0.010498749639838111
kway_par,16777216,32,16,8,1.179544,0.008793887877383926
kway_par,16777216,32,64,2,1.743566,0.014230098523903445
kway_par,16777216,32,64,4,1.299316,0.010826250689874136
kway_par,16777216,32,64,8,1.1818579999999999,0.00626990079666334
kway_par,16777216,32,256,2,1.7309279999999998,0.006722009818499207
kway_par,16777216,32,256,4,1.301272,0.006826408719084998
kway_par,16777216,32,256,8,1.18759,0.011389890254080558
kway_par,16777216,32,1024,2,1.46004,0.01024457124529866
kway_par,16777216,32,1024,4,1.062868,0.009228378839211165
kway_par,16777216,32,1024,8,0.8699928,0.009894227072389225
kway_par,16777216,32,4096,2,1.447132,0.008830844580219967
kway_par,16777216,32,4096,4,1.087922,0.02316414936923
kway_par,16777216,32,4096,8,0.8718538,0.004710464622518688
kway_par,67108864,2,16,2,14.584880000000002,0.07272392728669136
